team,league,country,city,status,coord_source,latitude,longitude
Stevenage,E2,England,Stevenage,success,stadium_coordinates,51.8896479,-0.1937405
Stockport,E2,England,Stockport,success,stadium_coordinates,53.3996433,-2.1664844
Sunderland,E2,England,Sunderland,success,stadium_coordinates,54.9143953,-1.3882579
Swindon,E2,England,Swindon,success,stadium_coordinates,51.607755,-1.7924329
Tranmere,E2,England,Tranmere,success,stadium_coordinates,53.3738916,-3.0317875
Walsall,E2,England,Walsall,success,stadium_coordinates,52.5655014,-1.9904976
Wigan,E2,England,Wigan,success,stadium_coordinates,53.5477333,-2.6540131
Wolves,E2,England,Wolves,success,stadium_coordinates,52.6076564,-2.1494975
Wrexham,E2,England,Wrexham,success,stadium_coordinates,53.0443125,-2.9766849
Wycombe,E2,England,Wycombe,success,stadium_coordinates,51.6304108,-0.8002826
Yeovil,E2,England,Yeovil,success,stadium_coordinates,50.9420451,-2.6318629
AFC Wimbledon,E3,England,Wimbledon,success,stadium_coordinates,51.4315282,-0.1867047
Accrington,E3,England,Accrington,success,stadium_coordinates,53.7654011,-2.370969
Aldershot,E3,England,Aldershot,success,stadium_coordinates,51.2646793,-0.754589
Barnet,E3,England,Barnet,success,stadium_coordinates,51.6033587,-0.2242463
Barrow,E3,England,Barrow,missing,city_manual,54.1109,-3.2261
Blackpool,E3,England,Blackpool,success,stadium_coordinates,53.8047874,-3.0482513
Bolton,E3,England,Bolton,success,stadium_coordinates,53.5805396,-2.5356648
Bradford,E3,England,Bradford,missing,city_manual,53.795,-1.7594
Bristol Rvs,E3,England,Bristol,success,stadium_coordinates,51.486111,-2.583611
Bromley,E3,England,Bromley,success,stadium_coordinates,51.4191635,-0.0687969
Burton,E3,England,Burton,success,stadium_coordinates,52.8218506,-1.6269256
Bury,E3,England,Bury,success,stadium_coordinates,53.5805538,-2.2949212
Cambridge,E3,England,Cambridge,success,stadium_coordinates,52.2120297,0.1541831
Carlisle,E3,England,Carlisle,missing,city_manual,54.8925,-2.9329
Cheltenham,E3,England,Cheltenham,success,stadium_coordinates,51.9061781,-2.0602145
Chesterfield,E3,England,Chesterfield,success,stadium_coordinates,53.2535581,-1.4258193
Colchester,E3,England,Colchester,success,stadium_coordinates,51.923439,0.8976478
Coventry,E3,England,Coventry,success,stadium_coordinates,52.4481581,-1.4970174
Crawley Town,E3,England,Crawley,success,stadium_coordinates,51.1191344,-0.191615
Crewe,E3,England,Crewe,success,stadium_coordinates,53.087402,-2.4357333
Dag and Red,E3,England,Red,success,stadium_coordinates,51.5478,0.159867
Doncaster,E3,England,Doncaster,success,stadium_coordinates,53.5890159,-1.0298081
Exeter,E3,England,Exeter,success,stadium_coordinates,50.7093752,-3.4675489
Fleetwood Town,E3,England,Fleetwood,success,stadium_coordinates,53.885312,-3.0084092
Forest Green,E3,England,Green,success,stadium_coordinates,51.6989868,-2.2377653
Gillingham,E3,England,Gillingham,success,stadium_coordinates,51.3842253,0.5609658
Grimsby,E3,England,Grimsby,success,stadium_coordinates,53.5702297,-0.0465117
Harrogate,E3,England,Harrogate,success,stadium_coordinates,53.9662795,-1.4991883
Hartlepool,E3,England,Hartlepool,success,stadium_coordinates,54.6890602,-1.2126565
Hereford,E3,England,Hereford,missing,city_manual,52.0567,-2.716
Leyton Orient,E3,England,Orient,success,stadium_coordinates,51.5599794,-0.013533
Lincoln,E3,England,Lincoln,missing,city_manual,53.2307,-0.5406
Luton,E3,England,Luton,success,stadium_coordinates,51.8841259,-0.4316701
Macclesfield,E3,England,Macclesfield,success,stadium_coordinates,53.2726576,-2.1597453
Mansfield,E3,England,Mansfield,missing,city_manual,53.1431,-1.1985
Milton Keynes Dons,E3,England,Dons,success,stadium_coordinates,52.0460472,-0.7466835
Morecambe,E3,England,Morecambe,success,stadium_coordinates,54.0614689,-2.8672646
Newport County,E3,England,Newport,missing,city_manual,51.5842,-2.9977
Northampton,E3,England,Northampton,success,stadium_coordinates,52.2352633,-0.9335741
Notts County,E3,England,Notts,success,stadium_coordinates,52.9536232,-1.144662
Oldham,E3,England,Oldham,success,stadium_coordinates,53.5475003,-2.1438254
Oxford,E3,England,Oxford,success,stadium_coordinates,51.7265293,-1.1998903
Plymouth,E3,England,Plymouth,missing,city_manual,50.3755,-4.1427
Port Vale,E3,England,Vale,success,stadium_coordinates,53.0500906,-2.1926292
Portsmouth,E3,England,Portsmouth,missing,city_manual,50.8198,-1.088
Rochdale,E3,England,Rochdale,success,stadium_coordinates,53.6207953,-2.1799129
Rotherham,E3,England,Rotherham,success,stadium_coordinates,53.4267854,-1.362678
Salford,E3,England,Salford,success,stadium_coordinates,53.4693387,-2.3751921
Scunthorpe,E3,England,Scunthorpe,success,stadium_coordinates,53.5825219,-0.6783354
Shrewsbury,E3,England,Shrewsbury,success,stadium_coordinates,52.6865188,-2.7485853
Southend,E3,England,Southend,success,stadium_coordinates,51.5490442,0.7015486
Stevenage,E3,England,Stevenage,success,stadium_coordinates,51.8896479,-0.1937405
Stockport,E3,England,Stockport,success,stadium_coordinates,53.3996433,-2.1664844
Sutton,E3,England,Sutton,missing,city_manual,51.3618,-0.1945
Swindon,E3,England,Swindon,success,stadium_coordinates,51.607755,-1.7924329
Torquay,E3,England,Torquay,missing,city_manual,50.4619,-3.5253
Tranmere,E3,England,Tranmere,success,stadium_coordinates,53.3738916,-3.0317875
Walsall,E3,England,Walsall,success,stadium_coordinates,52.5655014,-1.9904976
Wrexham,E3,England,Wrexham,success,stadium_coordinates,53.0443125,-2.9766849
Wycombe,E3,England,Wycombe,success,stadium_coordinates,51.6304108,-0.8002826
Yeovil,E3,England,Yeovil,success,stadium_coordinates,50.9420451,-2.6318629
York,E3,England,York,missing,city_manual,53.959,-1.0815
AFC Telford United,EC,England,Telford,success,stadium_coordinates,52.6973792,-2.5014353
AFC Wimbledon,EC,England,Wimbledon,success,stadium_coordinates,51.4315282,-0.1867047
Aldershot,EC,England,Aldershot,success,stadium_coordinates,51.2646793,-0.754589
Alfreton Town,EC,England,Alfreton,success,stadium_coordinates,53.094456,-1.3811612
Altrincham,EC,England,Altrincham,success,stadium_coordinates,53.3833838,-2.3352283
Barnet,EC,England,Barnet,success,stadium_coordinates,51.6033587,-0.2242463
Barrow,EC,England,Barrow,missing,city_manual,54.1109,-3.2261
Bath City,EC,England,Bath,success,stadium_coordinates,51.378837,-2.3950494
Boreham Wood,EC,England,Wood,success,stadium_coordinates,51.6620316,-0.2724395
Boston Utd,EC,England,Boston,success,stadium_coordinates,52.9767861,-0.0191167
Brackley Town,EC,England,Brackley,success,stadium_coordinates,52.0316579,-1.1385272
Braintree Town,EC,England,Braintree,success,stadium_coordinates,51.9464939,0.6326725
